Desempregados,Empregados,Pensionistas,Analfabetos,1Ciclo,2Ciclo,3Ciclo,EnsinoSec,EnsinoPosSec,CursoSup,M
19,201,189,20,154,59,79,81,8,50,1
4,18,16,5,25,10,7,9,1,4,0
0,0,0,0,0,0,0,0,0,0,0
12,94,70,3,46,19,38,45,3,60,1
7,107,108,22,59,17,27,43,2,79,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
2,2,3,0,3,3,1,0,0,1,1
0,13,10,2,9,2,1,1,0,7,1
4,59,64,2,42,21,13,28,4,28,1
1,47,30,1,23,12,5,19,1,39,1
2,41,7,1,5,2,9,11,1,42,0
0,0,0,0,0,0,0,0,0,0,0
4,44,46,1,20,13,12,18,3,37,1
35,382,135,6,87,49,85,118,4,350,1
